"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR"
"534","15/12/2018","Real Madrid","Vallecano",1,0,"H"
"535","15/12/2018","Valladolid","Ath Madrid",2,3,"A"
"536","16/12/2018","Espanol","Betis",1,3,"A"
"537","16/12/2018","Huesca","Villarreal",2,2,"D"
"538","16/12/2018","Levante","Barcelona",0,5,"A"
"539","16/12/2018","Sevilla","Girona",2,0,"H"
"540","17/12/2018","Alaves","Ath Bilbao",0,0,"D"
"541","21/12/2018","Girona","Getafe",1,1,"D"
"542","21/12/2018","Sociedad","Alaves",0,1,"A"
"543","22/12/2018","Ath Bilbao","Valladolid",1,1,"D"
"544","22/12/2018","Ath Madrid","Espanol",1,0,"H"
"545","22/12/2018","Barcelona","Celta",2,0,"H"
"546","22/12/2018","Betis","Eibar",1,1,"D"
"547","23/12/2018","Leganes","Sevilla",1,1,"D"
"548","23/12/2018","Valencia","Huesca",2,1,"H"
"549","23/12/2018","Vallecano","Levante",2,1,"H"
"550","03/01/2019","Villarreal","Real Madrid",2,2,"D"
"551","04/01/2019","Espanol","Leganes",1,0,"H"
"552","04/01/2019","Levante","Girona",2,2,"D"
"553","05/01/2019","Alaves","Valencia",2,1,"H"
"554","05/01/2019","Huesca","Betis",2,1,"H"
"555","05/01/2019","Valladolid","Vallecano",0,1,"A"
"556","06/01/2019","Eibar","Villarreal",0,0,"D"
"557","06/01/2019","Getafe","Barcelona",1,2,"A"
"558","06/01/2019","Real Madrid","Sociedad",0,2,"A"
"559","06/01/2019","Sevilla","Ath Madrid",1,1,"D"
"560","07/01/2019","Celta","Ath Bilbao",1,2,"A"
"561","11/01/2019","Vallecano","Celta",4,2,"H"
"562","12/01/2019","Girona","Alaves",1,1,"D"
"563","12/01/2019","Leganes","Huesca",1,0,"H"
"564","12/01/2019","Valencia","Valladolid",1,1,"D"
"565","12/01/2019","Villarreal","Getafe",1,2,"A"
"566","13/01/2019","Ath Bilbao","Sevilla",2,0,"H"
"567","13/01/2019","Ath Madrid","Levante",1,0,"H"
"568","13/01/2019","Barcelona","Eibar",3,0,"H"
"569","13/01/2019","Betis","Real Madrid",1,2,"A"
"570","14/01/2019","Sociedad","Espanol",3,2,"H"
"571","18/01/2019","Getafe","Alaves",4,0,"H"
"572","19/01/2019","Celta","Valencia",1,2,"A"
"573","19/01/2019","Huesca","Ath Madrid",0,3,"A"
"574","19/01/2019","Real Madrid","Sevilla",2,0,"H"
"575","20/01/2019","Barcelona","Leganes",3,1,"H"
"576","20/01/2019","Betis","Girona",3,2,"H"
"577","20/01/2019","Levante","Valladolid",2,0,"H"
"578","20/01/2019","Vallecano","Sociedad",2,2,"D"
"579","20/01/2019","Villarreal","Ath Bilbao",1,1,"D"
"580","21/01/2019","Eibar","Espanol",3,0,"H"
"581","26/01/2019","Ath Madrid","Getafe",2,0,"H"
"582","26/01/2019","Leganes","Eibar",2,2,"D"
"583","26/01/2019","Sevilla","Levante",5,0,"H"
"584","26/01/2019","Valencia","Villarreal",3,0,"H"
"585","27/01/2019","Ath Bilbao","Betis",1,0,"H"
"586","27/01/2019","Espanol","Real Madrid",2,4,"A"
"587","27/01/2019","Girona","Barcelona",0,2,"A"
"588","27/01/2019","Sociedad","Huesca",0,0,"D"
"589","27/01/2019","Valladolid","Celta",2,1,"H"
"590","28/01/2019","Alaves","Vallecano",0,1,"A"
"591","01/02/2019","Huesca","Valladolid",4,0,"H"
"592","02/02/2019","Barcelona","Valencia",2,2,"D"
"593","02/02/2019","Celta","Sevilla",1,0,"H"
"594","02/02/2019","Levante","Getafe",0,0,"D"
"595","02/02/2019","Sociedad","Ath Bilbao",2,1,"H"
"596","03/02/2019","Betis","Ath Madrid",1,0,"H"
"597","03/02/2019","Eibar","Girona",3,0,"H"
"598","03/02/2019","Real Madrid","Alaves",3,0,"H"
"599","03/02/2019","Villarreal","Espanol",2,2,"D"
"600","04/02/2019","Vallecano","Leganes",1,2,"A"
"601","08/02/2019","Valladolid","Villarreal",0,0,"D"
"602","09/02/2019","Ath Madrid","Real Madrid",1,3,"A"
"603","09/02/2019","Espanol","Vallecano",2,1,"H"
"604","09/02/2019","Getafe","Celta",3,1,"H"
"605","09/02/2019","Girona","Huesca",0,2,"A"
"606","10/02/2019","Ath Bilbao","Barcelona",0,0,"D"
"607","10/02/2019","Leganes","Betis",3,0,"H"
"608","10/02/2019","Sevilla","Eibar",2,2,"D"
"609","10/02/2019","Valencia","Sociedad",0,0,"D"
"610","11/02/2019","Alaves","Levante",2,0,"H"
"611","15/02/2019","Eibar","Getafe",2,2,"D"
"612","16/02/2019","Barcelona","Valladolid",1,0,"H"
"613","16/02/2019","Celta","Levante",1,4,"A"
"614","16/02/2019","Sociedad","Leganes",3,0,"H"
"615","16/02/2019","Vallecano","Ath Madrid",0,1,"A"
"616","17/02/2019","Betis","Alaves",1,1,"D"
"617","17/02/2019","Real Madrid","Girona",1,2,"A"
"618","17/02/2019","Valencia","Espanol",0,0,"D"
"619","17/02/2019","Villarreal","Sevilla",3,0,"H"
"620","18/02/2019","Huesca","Ath Bilbao",0,1,"A"
"621","22/02/2019","Espanol","Huesca",1,1,"D"
"622","23/02/2019","Alaves","Celta",0,0,"D"
"623","23/02/2019","Ath Bilbao","Eibar",1,0,"H"
"624","23/02/2019","Getafe","Vallecano",2,1,"H"
"625","23/02/2019","Sevilla","Barcelona",2,4,"A"
"626","24/02/2019","Ath Madrid","Villarreal",2,0,"H"
"627","24/02/2019","Leganes","Valencia",1,1,"D"
"628","24/02/2019","Levante","Real Madrid",1,2,"A"
"629","24/02/2019","Valladolid","Betis",0,2,"A"
"630","25/02/2019","Girona","Sociedad",0,0,"D"
"631","01/03/2019","Vallecano","Girona",0,2,"A"
"632","02/03/2019","Espanol","Valladolid",3,1,"H"
"633","02/03/2019","Huesca","Sevilla",2,1,"H"
"634","02/03/2019","Real Madrid","Barcelona",0,1,"A"
"635","02/03/2019","Villarreal","Alaves",1,2,"A"
"636","03/03/2019","Betis","Getafe",1,2,"A"
"637","03/03/2019","Eibar","Celta",1,0,"H"
"638","03/03/2019","Sociedad","Ath Madrid",0,2,"A"
"639","03/03/2019","Valencia","Ath Bilbao",2,0,"H"
"640","04/03/2019","Leganes","Levante",1,0,"H"
"641","08/03/2019","Ath Bilbao","Espanol",1,1,"D"
"642","09/03/2019","Alaves","Eibar",1,1,"D"
"643","09/03/2019","Ath Madrid","Leganes",1,0,"H"
"644","09/03/2019","Barcelona","Vallecano",3,1,"H"
"645","09/03/2019","Getafe","Huesca",2,1,"H"
"646","10/03/2019","Celta","Betis",0,1,"A"
"647","10/03/2019","Girona","Valencia",2,3,"A"
"648","10/03/2019","Levante","Villarreal",0,2,"A"
"649","10/03/2019","Sevilla","Sociedad",5,2,"H"
"650","10/03/2019","Valladolid","Real Madrid",1,4,"A"
"651","15/03/2019","Sociedad","Levante",1,1,"D"
"652","16/03/2019","Ath Bilbao","Ath Madrid",2,0,"H"
"653","16/03/2019","Huesca","Alaves",1,3,"A"
"654","16/03/2019","Leganes","Girona",0,2,"A"
"655","16/03/2019","Real Madrid","Celta",2,0,"H"
"656","17/03/2019","Betis","Barcelona",1,4,"A"
"657","17/03/2019","Eibar","Valladolid",1,2,"A"
"658","17/03/2019","Espanol","Sevilla",0,1,"A"
"659","17/03/2019","Valencia","Getafe",0,0,"D"
"660","17/03/2019","Villarreal","Vallecano",3,1,"H"
"661","29/03/2019","Girona","Ath Bilbao",1,2,"A"
"662","30/03/2019","Alaves","Ath Madrid",0,4,"A"
"663","30/03/2019","Barcelona","Espanol",2,0,"H"
"664","30/03/2019","Celta","Villarreal",3,2,"H"
"665","30/03/2019","Getafe","Leganes",0,2,"A"
"666","31/03/2019","Levante","Eibar",2,2,"D"
"667","31/03/2019","Real Madrid","Huesca",3,2,"H"
"668","31/03/2019","Sevilla","Valencia",0,1,"A"
"669","31/03/2019","Valladolid","Sociedad",1,1,"D"
"670","31/03/2019","Vallecano","Betis",1,1,"D"
"671","02/04/2019","Ath Madrid","Girona",2,0,"H"
"672","02/04/2019","Espanol","Getafe",1,1,"D"
"673","02/04/2019","Villarreal","Barcelona",4,4,"D"
"674","03/04/2019","Ath Bilbao","Levante",3,2,"H"
"675","03/04/2019","Eibar","Vallecano",2,1,"H"
"676","03/04/2019","Huesca","Celta",3,3,"D"
"677","03/04/2019","Valencia","Real Madrid",2,1,"H"
"678","04/04/2019","Leganes","Valladolid",1,0,"H"
"679","04/04/2019","Sevilla","Alaves",2,0,"H"
"680","04/04/2019","Sociedad","Betis",2,1,"H"
"681","06/04/2019","Barcelona","Ath Madrid",2,0,"H"
"682","06/04/2019","Girona","Espanol",1,2,"A"
"683","06/04/2019","Real Madrid","Eibar",2,1,"H"
"684","06/04/2019","Vallecano","Valencia",2,0,"H"
"685","07/04/2019","Alaves","Leganes",1,1,"D"
"686","07/04/2019","Betis","Villarreal",2,1,"H"
"687","07/04/2019","Celta","Sociedad",3,1,"H"
"688","07/04/2019","Getafe","Ath Bilbao",1,0,"H"
"689","07/04/2019","Levante","Huesca",2,2,"D"
"690","07/04/2019","Valladolid","Sevilla",0,2,"A"
"691","13/04/2019","Ath Madrid","Celta",2,0,"H"
"692","13/04/2019","Espanol","Alaves",2,1,"H"
"693","13/04/2019","Huesca","Barcelona",0,0,"D"
"694","13/04/2019","Sevilla","Betis",3,2,"H"
"695","14/04/2019","Ath Bilbao","Vallecano",3,2,"H"
"696","14/04/2019","Girona","Villarreal",0,1,"A"
"697","14/04/2019","Sociedad","Eibar",1,1,"D"
"698","14/04/2019","Valencia","Levante",3,1,"H"
"699","14/04/2019","Valladolid","Getafe",2,2,"D"
"700","15/04/2019","Leganes","Real Madrid",1,1,"D"
"701","19/04/2019","Alaves","Valladolid",2,2,"D"
"702","20/04/2019","Barcelona","Sociedad",2,1,"H"
"703","20/04/2019","Celta","Girona",2,1,"H"
"704","20/04/2019","Eibar","Ath Madrid",0,1,"A"
"705","20/04/2019","Vallecano","Huesca",0,0,"D"
"706","21/04/2019","Betis","Valencia",1,2,"A"
"707","21/04/2019","Getafe","Sevilla",3,0,"H"
"708","21/04/2019","Levante","Espanol",2,2,"D"
"709","21/04/2019","Real Madrid","Ath Bilbao",3,0,"H"
"710","21/04/2019","Villarreal","Leganes",2,1,"H"
"711","23/04/2019","Alaves","Barcelona",0,2,"A"
"712","23/04/2019","Huesca","Eibar",2,0,"H"
"713","23/04/2019","Valladolid","Girona",1,0,"H"
"714","24/04/2019","Ath Madrid","Valencia",3,2,"H"
"715","24/04/2019","Espanol","Celta",1,1,"D"
"716","24/04/2019","Leganes","Ath Bilbao",0,1,"A"
"717","24/04/2019","Levante","Betis",4,0,"H"
"718","25/04/2019","Getafe","Real Madrid",0,0,"D"
"719","25/04/2019","Sevilla","Vallecano",5,0,"H"
"720","25/04/2019","Sociedad","Villarreal",0,1,"A"
"721","27/04/2019","Ath Bilbao","Alaves",1,1,"D"
"722","27/04/2019","Ath Madrid","Valladolid",1,0,"H"
"723","27/04/2019","Barcelona","Levante",1,0,"H"
"724","27/04/2019","Leganes","Celta",0,0,"D"
"725","28/04/2019","Girona","Sevilla",1,0,"H"
"726","28/04/2019","Sociedad","Getafe",2,1,"H"
"727","28/04/2019","Valencia","Eibar",0,1,"A"
"728","28/04/2019","Vallecano","Real Madrid",1,0,"H"
"729","28/04/2019","Villarreal","Huesca",1,1,"D"
"730","29/04/2019","Betis","Espanol",1,1,"D"
"731","03/05/2019","Sevilla","Leganes",0,3,"A"
"732","04/05/2019","Alaves","Sociedad",0,1,"A"
"733","04/05/2019","Celta","Barcelona",2,0,"H"
"734","04/05/2019","Espanol","Ath Madrid",3,0,"H"
"735","04/05/2019","Levante","Vallecano",4,1,"H"
"736","05/05/2019","Eibar","Betis",1,0,"H"
"737","05/05/2019","Getafe","Girona",2,0,"H"
"738","05/05/2019","Huesca","Valencia",2,6,"A"
"739","05/05/2019","Real Madrid","Villarreal",3,2,"H"
"740","05/05/2019","Valladolid","Ath Bilbao",1,0,"H"
"741","12/05/2019","Ath Bilbao","Celta",3,1,"H"
"742","12/05/2019","Ath Madrid","Sevilla",1,1,"D"
"743","12/05/2019","Barcelona","Getafe",2,0,"H"
"744","12/05/2019","Betis","Huesca",2,1,"H"
"745","12/05/2019","Girona","Levante",1,2,"A"
"746","12/05/2019","Leganes","Espanol",0,2,"A"
"747","12/05/2019","Sociedad","Real Madrid",3,1,"H"
"748","12/05/2019","Valencia","Alaves",3,1,"H"
"749","12/05/2019","Vallecano","Valladolid",1,2,"A"
"750","12/05/2019","Villarreal","Eibar",1,0,"H"
"751","18/05/2019","Alaves","Girona",2,1,"H"
"752","18/05/2019","Celta","Vallecano",2,2,"D"
"753","18/05/2019","Espanol","Sociedad",2,0,"H"
"754","18/05/2019","Getafe","Villarreal",2,2,"D"
"755","18/05/2019","Huesca","Leganes",2,1,"H"
"756","18/05/2019","Levante","Ath Madrid",2,2,"D"
"757","18/05/2019","Sevilla","Ath Bilbao",2,0,"H"
"758","18/05/2019","Valladolid","Valencia",0,2,"A"
"759","19/05/2019","Eibar","Barcelona",2,2,"D"
"760","19/05/2019","Real Madrid","Betis",0,2,"A"
"761","16/08/2019","Ath Bilbao","Barcelona",1,0,"H"
"762","17/08/2019","Celta","Real Madrid",1,3,"A"
"763","17/08/2019","Valencia","Sociedad",1,1,"D"
"764","17/08/2019","Mallorca","Eibar",2,1,"H"
"765","17/08/2019","Leganes","Osasuna",0,1,"A"
"766","17/08/2019","Villarreal","Granada",4,4,"D"
"767","18/08/2019","Alaves","Levante",1,0,"H"
"768","18/08/2019","Espanol","Sevilla",0,2,"A"
"769","18/08/2019","Betis","Valladolid",1,2,"A"
"770","18/08/2019","Ath Madrid","Getafe",1,0,"H"
"771","23/08/2019","Granada","Sevilla",0,1,"A"
"772","23/08/2019","Levante","Villarreal",2,1,"H"
"773","24/08/2019","Osasuna","Eibar",0,0,"D"
"774","24/08/2019","Real Madrid","Valladolid",1,1,"D"
"775","24/08/2019","Celta","Valencia",1,0,"H"
"776","24/08/2019","Getafe","Ath Bilbao",1,1,"D"
"777","25/08/2019","Alaves","Espanol",0,0,"D"
"778","25/08/2019","Mallorca","Sociedad",0,1,"A"
"779","25/08/2019","Leganes","Ath Madrid",0,1,"A"
"780","25/08/2019","Barcelona","Betis",5,2,"H"
"781","30/08/2019","Sevilla","Celta",1,1,"D"
"782","30/08/2019","Ath Bilbao","Sociedad",2,0,"H"
"783","31/08/2019","Osasuna","Barcelona",2,2,"D"
"784","31/08/2019","Getafe","Alaves",1,1,"D"
"785","31/08/2019","Levante","Valladolid",2,0,"H"
"786","31/08/2019","Betis","Leganes",2,1,"H"
"787","01/09/2019","Valencia","Mallorca",2,0,"H"
"788","01/09/2019","Ath Madrid","Eibar",3,2,"H"
"789","01/09/2019","Espanol","Granada",0,3,"A"
"790","01/09/2019","Villarreal","Real Madrid",2,2,"D"
"791","13/09/2019","Mallorca","Ath Bilbao",0,0,"D"
"792","14/09/2019","Real Madrid","Levante",3,2,"H"
"793","14/09/2019","Leganes","Villarreal",0,3,"A"
"794","14/09/2019","Sociedad","Ath Madrid",2,0,"H"
"795","14/09/2019","Barcelona","Valencia",5,2,"H"
"796","15/09/2019","Eibar","Espanol",1,2,"A"
"797","15/09/2019","Alaves","Sevilla",0,1,"A"
"798","15/09/2019","Celta","Granada",0,2,"A"
"799","15/09/2019","Valladolid","Osasuna",1,1,"D"
"800","15/09/2019","Betis","Getafe",1,1,"D"
"801","20/09/2019","Osasuna","Betis",0,0,"D"
"802","21/09/2019","Villarreal","Valladolid",2,0,"H"
"803","21/09/2019","Levante","Eibar",0,0,"D"
"804","21/09/2019","Ath Madrid","Celta",0,0,"D"
"805","21/09/2019","Granada","Barcelona",2,0,"H"
"806","22/09/2019","Getafe","Mallorca",4,2,"H"
"807","22/09/2019","Espanol","Sociedad",1,3,"A"
"808","22/09/2019","Valencia","Leganes",1,1,"D"
"809","22/09/2019","Ath Bilbao","Alaves",2,0,"H"
"810","22/09/2019","Sevilla","Real Madrid",0,1,"A"
"811","24/09/2019","Valladolid","Granada",1,1,"D"
"812","24/09/2019","Betis","Levante",3,1,"H"
"813","24/09/2019","Barcelona","Villarreal",2,1,"H"
"814","25/09/2019","Leganes","Ath Bilbao",1,1,"D"
"815","25/09/2019","Mallorca","Ath Madrid",0,2,"A"
"816","25/09/2019","Valencia","Getafe",3,3,"D"
"817","25/09/2019","Real Madrid","Osasuna",2,0,"H"
"818","26/09/2019","Eibar","Sevilla",3,2,"H"
"819","26/09/2019","Celta","Espanol",1,1,"D"
"820","26/09/2019","Sociedad","Alaves",3,0,"H"
"821","27/09/2019","Villarreal","Betis",5,1,"H"
"822","28/09/2019","Ath Bilbao","Valencia",0,1,"A"
"823","28/09/2019","Getafe","Barcelona",0,2,"A"
"824","28/09/2019","Granada","Leganes",1,0,"H"
"825","28/09/2019","Ath Madrid","Real Madrid",0,0,"D"
"826","29/09/2019","Espanol","Valladolid",0,2,"A"
"827","29/09/2019","Eibar","Celta",2,0,"H"
"828","29/09/2019","Alaves","Mallorca",2,0,"H"
"829","29/09/2019","Levante","Osasuna",1,1,"D"
"830","29/09/2019","Sevilla","Sociedad",3,2,"H"
"831","04/10/2019","Betis","Eibar",1,1,"D"
"832","05/10/2019","Leganes","Levante",1,2,"A"
"833","05/10/2019","Real Madrid","Granada",4,2,"H"
"834","05/10/2019","Valencia","Alaves",2,1,"H"
"835","05/10/2019","Osasuna","Villarreal",2,1,"H"
"836","06/10/2019","Mallorca","Espanol",2,0,"H"
"837","06/10/2019","Celta","Ath Bilbao",1,0,"H"
"838","06/10/2019","Valladolid","Ath Madrid",0,0,"D"
"839","06/10/2019","Sociedad","Getafe",1,2,"A"
"840","06/10/2019","Barcelona","Sevilla",4,0,"H"
"841","18/10/2019","Granada","Osasuna",1,0,"H"
"842","19/10/2019","Eibar","Barcelona",0,3,"A"
"843","19/10/2019","Ath Madrid","Valencia",1,1,"D"
"844","19/10/2019","Getafe","Leganes",2,0,"H"
"845","19/10/2019","Mallorca","Real Madrid",1,0,"H"
"846","20/10/2019","Alaves","Celta",2,0,"H"
"847","20/10/2019","Sociedad","Betis",3,1,"H"
"848","20/10/2019","Espanol","Villarreal",0,1,"A"
"849","20/10/2019","Ath Bilbao","Valladolid",1,1,"D"
"850","20/10/2019","Sevilla","Levante",1,0,"H"
"851","25/10/2019","Villarreal","Alaves",4,1,"H"
"852","26/10/2019","Leganes","Mallorca",1,0,"H"
"853","26/10/2019","Valladolid","Eibar",2,0,"H"
"854","26/10/2019","Ath Madrid","Ath Bilbao",2,0,"H"
"855","27/10/2019","Celta","Sociedad",0,1,"A"
"856","27/10/2019","Granada","Betis",1,0,"H"
"857","27/10/2019","Levante","Espanol",0,1,"A"
"858","27/10/2019","Sevilla","Getafe",2,0,"H"
"859","27/10/2019","Osasuna","Valencia",3,1,"H"
"860","29/10/2019","Alaves","Ath Madrid",1,1,"D"
"861","29/10/2019","Barcelona","Valladolid",5,1,"H"
"862","30/10/2019","Sociedad","Levante",1,2,"A"
"863","30/10/2019","Valencia","Sevilla",1,1,"D"
"864","30/10/2019","Ath Bilbao","Espanol",3,0,"H"
"865","30/10/2019","Betis","Celta",2,1,"H"
"866","30/10/2019","Real Madrid","Leganes",5,0,"H"
"867","31/10/2019","Eibar","Villarreal",2,1,"H"
"868","31/10/2019","Mallorca","Osasuna",2,2,"D"
"869","31/10/2019","Getafe","Granada",3,1,"H"
"870","02/11/2019","Espanol","Valencia",1,2,"A"
"871","02/11/2019","Levante","Barcelona",3,1,"H"
"872","02/11/2019","Sevilla","Ath Madrid",1,1,"D"
"873","02/11/2019","Real Madrid","Betis",0,0,"D"
"874","03/11/2019","Valladolid","Mallorca",3,0,"H"
"875","03/11/2019","Villarreal","Ath Bilbao",0,0,"D"
"876","03/11/2019","Osasuna","Alaves",4,2,"H"
"877","03/11/2019","Celta","Getafe",0,1,"A"
"878","03/11/2019","Leganes","Eibar",1,2,"A"
"879","03/11/2019","Granada","Sociedad",1,2,"A"
"880","08/11/2019","Sociedad","Leganes",1,1,"D"
"881","09/11/2019","Alaves","Valladolid",3,0,"H"
"882","09/11/2019","Valencia","Granada",2,0,"H"
"883","09/11/2019","Eibar","Real Madrid",0,4,"A"
"884","09/11/2019","Barcelona","Celta",4,1,"H"
"885","10/11/2019","Mallorca","Villarreal",3,1,"H"
"886","10/11/2019","Ath Bilbao","Levante",2,1,"H"
"887","10/11/2019","Ath Madrid","Espanol",3,1,"H"
"888","10/11/2019","Getafe","Osasuna",0,0,"D"
"889","10/11/2019","Betis","Sevilla",1,2,"A"
"890","22/11/2019","Levante","Mallorca",2,1,"H"
"891","23/11/2019","Leganes","Barcelona",1,2,"A"
"892","23/11/2019","Betis","Valencia",2,1,"H"
"893","23/11/2019","Granada","Ath Madrid",1,1,"D"
"894","23/11/2019","Real Madrid","Sociedad",3,1,"H"
"895","24/11/2019","Espanol","Getafe",1,1,"D"
"896","24/11/2019","Osasuna","Ath Bilbao",1,2,"A"
"897","24/11/2019","Eibar","Alaves",0,2,"A"
"898","24/11/2019","Villarreal","Celta",1,3,"A"
"899","24/11/2019","Valladolid","Sevilla",0,1,"A"
"900","29/11/2019","Celta","Valladolid",0,0,"D"
"901","30/11/2019","Alaves","Real Madrid",1,2,"A"
"902","30/11/2019","Sociedad","Eibar",4,1,"H"
"903","30/11/2019","Mallorca","Betis",1,2,"A"
"904","30/11/2019","Valencia","Villarreal",2,1,"H"
"905","01/12/2019","Sevilla","Leganes",1,0,"H"
"906","01/12/2019","Ath Bilbao","Granada",2,0,"H"
"907","01/12/2019","Espanol","Osasuna",2,4,"A"
"908","01/12/2019","Getafe","Levante",4,0,"H"
"909","01/12/2019","Ath Madrid","Barcelona",0,1,"A"
"910","06/12/2019","Villarreal","Ath Madrid",0,0,"D"
"911","07/12/2019","Real Madrid","Espanol",2,0,"H"
"912","07/12/2019","Granada","Alaves",3,0,"H"
"913","07/12/2019","Levante","Valencia",2,4,"A"
"914","07/12/2019","Barcelona","Mallorca",5,2,"H"
"915","08/12/2019","Eibar","Getafe",0,1,"A"
"916","08/12/2019","Betis","Ath Bilbao",3,2,"H"
"917","08/12/2019","Valladolid","Sociedad",0,0,"D"
"918","08/12/2019","Leganes","Celta",3,2,"H"
"919","08/12/2019","Osasuna","Sevilla",1,1,"D"
"920","13/12/2019","Alaves","Leganes",1,1,"D"
"921","14/12/2019","Granada","Levante",1,2,"A"
"922","14/12/2019","Sociedad","Barcelona",2,2,"D"
"923","14/12/2019","Ath Bilbao","Eibar",0,0,"D"
"924","14/12/2019","Ath Madrid","Osasuna",2,0,"H"
"925","15/12/2019","Getafe","Valladolid",2,0,"H"
"926","15/12/2019","Celta","Mallorca",2,2,"D"
"927","15/12/2019","Espanol","Betis",2,2,"D"
"928","15/12/2019","Sevilla","Villarreal",1,2,"A"
"929","15/12/2019","Valencia","Real Madrid",1,1,"D"
"930","18/12/2019","Barcelona","Real Madrid",0,0,"D"
"931","20/12/2019","Eibar","Granada",3,0,"H"
"932","21/12/2019","Mallorca","Sevilla",0,2,"A"
"933","21/12/2019","Barcelona","Alaves",4,1,"H"
"934","21/12/2019","Villarreal","Getafe",1,0,"H"
"935","21/12/2019","Valladolid","Valencia",1,1,"D"
"936","22/12/2019","Leganes","Espanol",2,0,"H"
"937","22/12/2019","Osasuna","Sociedad",3,4,"A"
"938","22/12/2019","Betis","Ath Madrid",1,2,"A"
"939","22/12/2019","Levante","Celta",3,1,"H"
"940","22/12/2019","Real Madrid","Ath Bilbao",0,0,"D"
"941","03/01/2020","Valladolid","Leganes",2,2,"D"
"942","03/01/2020","Sevilla","Ath Bilbao",1,1,"D"
"943","04/01/2020","Valencia","Eibar",1,0,"H"
"944","04/01/2020","Getafe","Real Madrid",0,3,"A"
"945","04/01/2020","Ath Madrid","Levante",2,1,"H"
"946","04/01/2020","Espanol","Barcelona",2,2,"D"
"947","05/01/2020","Granada","Mallorca",1,0,"H"
"948","05/01/2020","Sociedad","Villarreal",1,2,"A"
"949","05/01/2020","Alaves","Betis",1,1,"D"
"950","05/01/2020","Celta","Osasuna",1,1,"D"
"951","17/01/2020","Leganes","Getafe",0,3,"A"
"952","18/01/2020","Levante","Alaves",0,1,"A"
"953","18/01/2020","Real Madrid","Sevilla",2,1,"H"
"954","18/01/2020","Osasuna","Valladolid",0,0,"D"
"955","18/01/2020","Eibar","Ath Madrid",2,0,"H"
"956","19/01/2020","Mallorca","Valencia",4,1,"H"
"957","19/01/2020","Betis","Sociedad",3,0,"H"
"958","19/01/2020","Villarreal","Espanol",1,2,"A"
"959","19/01/2020","Ath Bilbao","Celta",1,1,"D"
"960","19/01/2020","Barcelona","Granada",1,0,"H"
"961","24/01/2020","Osasuna","Levante",2,0,"H"
"962","25/01/2020","Espanol","Ath Bilbao",1,1,"D"
"963","25/01/2020","Valencia","Barcelona",2,0,"H"
"964","25/01/2020","Alaves","Villarreal",1,2,"A"
"965","25/01/2020","Sevilla","Granada",2,0,"H"
"966","26/01/2020","Ath Madrid","Leganes",0,0,"D"
"967","26/01/2020","Celta","Eibar",0,0,"D"
"968","26/01/2020","Getafe","Betis",1,0,"H"
"969","26/01/2020","Sociedad","Mallorca",3,0,"H"
"970","26/01/2020","Valladolid","Real Madrid",0,1,"A"
"971","01/02/2020","Granada","Espanol",2,1,"H"
"972","01/02/2020","Real Madrid","Ath Madrid",1,0,"H"
"973","01/02/2020","Mallorca","Valladolid",0,1,"A"
"974","01/02/2020","Valencia","Celta",1,0,"H"
"975","02/02/2020","Leganes","Sociedad",2,1,"H"
"976","02/02/2020","Eibar","Betis",1,1,"D"
"977","02/02/2020","Ath Bilbao","Getafe",0,2,"A"
"978","02/02/2020","Sevilla","Alaves",1,1,"D"
"979","02/02/2020","Villarreal","Osasuna",3,1,"H"
"980","02/02/2020","Barcelona","Levante",2,1,"H"
"981","07/02/2020","Alaves","Eibar",2,1,"H"
"982","08/02/2020","Levante","Leganes",2,0,"H"
"983","08/02/2020","Getafe","Valencia",3,0,"H"
"984","08/02/2020","Valladolid","Villarreal",1,1,"D"
"985","08/02/2020","Ath Madrid","Granada",1,0,"H"
"986","09/02/2020","Espanol","Mallorca",1,0,"H"
"987","09/02/2020","Sociedad","Ath Bilbao",2,1,"H"
"988","09/02/2020","Osasuna","Real Madrid",1,4,"A"
"989","09/02/2020","Celta","Sevilla",2,1,"H"
"990","09/02/2020","Betis","Barcelona",2,3,"A"
"991","14/02/2020","Valencia","Ath Madrid",2,2,"D"
"992","15/02/2020","Mallorca","Alaves",1,0,"H"
"993","15/02/2020","Barcelona","Getafe",2,1,"H"
"994","15/02/2020","Villarreal","Levante",2,1,"H"
"995","15/02/2020","Granada","Valladolid",2,1,"H"
"996","16/02/2020","Sevilla","Espanol",2,2,"D"
"997","16/02/2020","Leganes","Betis",0,0,"D"
"998","16/02/2020","Ath Bilbao","Osasuna",0,1,"A"
"999","16/02/2020","Real Madrid","Celta",2,2,"D"
"1000","21/02/2020","Betis","Mallorca",3,3,"D"
"1001","22/02/2020","Celta","Leganes",1,0,"H"
"1002","22/02/2020","Barcelona","Eibar",5,0,"H"
"1003","22/02/2020","Sociedad","Valencia",3,0,"H"
"1004","22/02/2020","Levante","Real Madrid",1,0,"H"
"1005","23/02/2020","Osasuna","Granada",0,3,"A"
"1006","23/02/2020","Alaves","Ath Bilbao",2,1,"H"
"1007","23/02/2020","Valladolid","Espanol",2,1,"H"
"1008","23/02/2020","Getafe","Sevilla",0,3,"A"
"1009","23/02/2020","Ath Madrid","Villarreal",3,1,"H"
"1010","28/02/2020","Sociedad","Valladolid",1,0,"H"
"1011","29/02/2020","Eibar","Levante",3,0,"H"
