country,date,sector,mtco2
China,06/06/2019,Power,11.6153272
China,07/06/2019,Power,10.4763676
China,08/06/2019,Power,10.641217
China,09/06/2019,Power,11.9618856
China,10/06/2019,Power,12.6521925
China,11/06/2019,Power,12.3562129
China,12/06/2019,Power,12.3253036
China,13/06/2019,Power,12.0087178
China,14/06/2019,Power,12.000288
China,15/06/2019,Power,12.0218308
China,16/06/2019,Power,11.468274
China,17/06/2019,Power,11.9281664
China,18/06/2019,Power,12.4807866
China,19/06/2019,Power,12.8123587
China,20/06/2019,Power,12.716821
China,21/06/2019,Power,12.8488878
China,22/06/2019,Power,12.4742301
China,23/06/2019,Power,11.5357124
China,24/06/2019,Power,11.7689368
China,25/06/2019,Power,11.5881645
China,26/06/2019,Power,11.8710311
China,27/06/2019,Power,12.3356067
China,28/06/2019,Power,12.421778
China,29/06/2019,Power,12.3037608
China,30/06/2019,Power,11.8213889
China,01/07/2019,Power,12.4405109
China,02/07/2019,Power,12.6016137
China,03/07/2019,Power,13.067126
China,04/07/2019,Power,12.8179786
China,05/07/2019,Power,12.3571495
China,06/07/2019,Power,11.8644746
China,07/07/2019,Power,11.7024351
China,08/07/2019,Power,12.5369852
China,09/07/2019,Power,12.2597385
China,10/07/2019,Power,12.0302606
China,11/07/2019,Power,12.3580862
China,12/07/2019,Power,12.2934577
China,13/07/2019,Power,12.1276716
China,14/07/2019,Power,11.9721887
China,15/07/2019,Power,12.89572
China,16/07/2019,Power,13.0408999
China,17/07/2019,Power,13.1991928
China,18/07/2019,Power,13.7480664
China,19/07/2019,Power,13.8014552
China,20/07/2019,Power,13.414621
China,21/07/2019,Power,13.0455831
China,22/07/2019,Power,13.8670203
China,23/07/2019,Power,14.0571591
China,24/07/2019,Power,14.7390362
China,25/07/2019,Power,14.8008547
China,26/07/2019,Power,14.9347949
China,27/07/2019,Power,14.5282912
China,28/07/2019,Power,14.3362791
China,29/07/2019,Power,14.747466
China,30/07/2019,Power,14.8092845
China,31/07/2019,Power,14.7390362
China,01/08/2019,Power,14.4449299
China,02/08/2019,Power,13.6047598
China,03/08/2019,Power,13.290984
China,04/08/2019,Power,13.0877321
China,05/08/2019,Power,13.7087274
China,06/08/2019,Power,14.3456456
China,07/08/2019,Power,14.2426147
China,08/08/2019,Power,14.3493921
China,09/08/2019,Power,14.2351215
China,10/08/2019,Power,13.1392476
China,11/08/2019,Power,12.0115277
China,12/08/2019,Power,12.8348382
China,13/08/2019,Power,13.6984243
China,14/08/2019,Power,14.2857003
China,15/08/2019,Power,13.7424466
China,16/08/2019,Power,13.5513711
